-0.034708f,0.999397f,-0.000259f,
-0.034708f,0.999397f,-0.000259f,
-0.034708f,0.999397f,-0.000259f,
0.696161f,0.024365f,0.717472f,
0.786391f,0.027473f,0.617117f,
0.786391f,0.027473f,0.617117f,
-0.034715f,0.999397f,-0.000247f,
-0.034703f,0.999398f,-0.000262f,
0.696162f,0.024365f,0.717472f,
0.696162f,0.024365f,0.717472f,
0.598356f,0.02099f,0.800955f,
-0.034691f,0.999398f,-0.000268f,
-0.034691f,0.999398f,-0.000268f,
0.249732f,0.008927f,0.968274f,
0.438685f,0.015471f,0.898508f,
0.438685f,0.015471f,0.898508f,
-0.034716f,0.999397f,-0.000268f,
-0.034716f,0.999397f,-0.000268f,
0.598355f,0.02099f,0.800956f,
0.598355f,0.02099f,0.800956f,
0.438686f,0.015471f,0.898507f,
-0.034716f,0.999397f,-0.000262f,
-0.034716f,0.999397f,-0.000262f,
-0.034716f,0.999397f,-0.000262f,
0.975662f,0.033942f,0.216635f,
0.975662f,0.033942f,0.216635f,
0.895681f,0.031222f,0.4436f,
-0.034721f,0.999397f,-0.000265f,
-0.034721f,0.999397f,-0.000265f,
0.89568f,0.031222f,0.443603f,
0.89568f,0.031222f,0.443603f,
0.786392f,0.027473f,0.617116f,
