0.014713f,-0.066194f,-0.029099f,
0.014713f,-0.066194f,-0.029099f,
0.010935f,-0.070645f,-0.031898f,
0.01108f,-0.080755f,-0.031634f,
0.010641f,-0.087906f,-0.031593f,
0.010262f,-0.095386f,-0.031533f,
0.009779f,-0.104004f,-0.031398f,
0.00934f,-0.111968f,-0.031222f,
0.009175f,-0.119104f,-0.030857f,
0.00908f,-0.125088f,-0.030533f,
0.015278f,0.008477f,-0.023914f,
0.015278f,0.008477f,-0.023914f,
0.015026f,0.006333f,-0.023406f,
0.014717f,-0.000112f,-0.023341f,
0.014524f,-0.005145f,-0.024699f,
0.0159f,-0.010884f,-0.025603f,
0.016316f,-0.014602f,-0.026209f,
0.016347f,-0.018032f,-0.02677f,
0.016107f,-0.021464f,-0.027311f,
0.015728f,-0.024749f,-0.027789f,
0.017952f,-0.034281f,-0.02557f,
0.017762f,-0.040358f,-0.025661f,
0.018719f,-0.043376f,-0.024353f,
0.018719f,-0.043376f,-0.024353f,
0.015871f,-0.070402f,-0.027829f,
0.015871f,-0.070402f,-0.027829f,
0.015487f,-0.081124f,-0.027915f,
0.015218f,-0.08829f,-0.02799f,
0.014738f,-0.09579f,-0.028207f,
0.01424f,-0.104063f,-0.028291f,
0.013663f,-0.11222f,-0.028375f,
0.013253f,-0.120663f,-0.028255f,
0.012205f,-0.125883f,-0.02879f,
0.008413f,0.008237f,-0.024647f,
0.008413f,0.008237f,-0.024647f,
0.008279f,0.00596f,-0.02434f,
0.008397f,-0.00002f,-0.024836f,
0.008099f,-0.003306f,-0.025939f,
0.007145f,-0.006733f,-0.027612f,
0.005375f,-0.03151f,-0.033142f,
0.006538f,-0.039001f,-0.033184f,
0.006566f,-0.042186f,-0.033343f,
0.006204f,-0.048328f,-0.033592f,
0.005905f,-0.056072f,-0.033813f,
0.00569f,-0.063923f,-0.033912f,
0.005631f,-0.071826f,-0.033877f,
0.005386f,-0.080649f,-0.033837f,
0.005309f,-0.087989f,-0.033666f,
0.005109f,-0.095435f,-0.033448f,
0.004667f,-0.103411f,-0.033155f,
0.004288f,-0.11135f,-0.032764f,
0.004243f,-0.116734f,-0.03242f,
0.004188f,-0.122343f,-0.032005f,
0.003171f,-0.129172f,-0.031544f,
0.02161f,0.009598f,-0.020633f,
0.02161f,0.009598f,-0.020633f,
0.021209f,0.007486f,-0.019943f,
0.020503f,0.000823f,-0.019243f,
0.020446f,-0.00351f,-0.019653f,
0.020673f,-0.010477f,-0.020483f,
0.02221f,-0.014304f,-0.018064f,
0.022145f,-0.018239f,-0.018316f,
0.022023f,-0.02217f,-0.018557f,
0.02185f,-0.026038f,-0.01879f,
0.021339f,-0.034069f,-0.019527f,
0.020968f,-0.040427f,-0.019917f,
0.021763f,-0.045166f,-0.016895f,
0.021763f,-0.045166f,-0.016895f,
0.019747f,-0.072398f,-0.020469f,
0.019747f,-0.072398f,-0.020469f,
0.018833f,-0.081458f,-0.022177f,
0.018394f,-0.088715f,-0.022614f,
0.017891f,-0.09625f,-0.023094f,
0.017448f,-0.104181f,-0.023374f,
0.016872f,-0.11234f,-0.023854f,
0.016398f,-0.120756f,-0.024244f,
