0.986089f,-0.087533f,-0.141302f,
0.236616f,0.04406f,0.970604f,
0.9896f,-0.052113f,-0.134077f,
0.22109f,0.002202f,0.975251f,
0.993502f,-0.046962f,-0.103671f,
0.206787f,-0.049455f,0.977135f,
0.995512f,-0.048763f,-0.08111f,
0.197901f,-0.069923f,0.977725f,
0.996224f,-0.058312f,-0.064327f,
0.188123f,-0.079854f,0.978894f,
0.99677f,-0.060419f,-0.052906f,
0.179023f,-0.084478f,0.980211f,
0.997639f,-0.059403f,-0.03446f,
0.188399f,-0.092567f,0.97772f,
0.99768f,-0.062849f,-0.026168f,
0.181571f,-0.094163f,0.978859f,
0.997627f,-0.06631f,0.018505f,
0.17714f,-0.093155f,0.979767f,
0.997136f,-0.069989f,0.028663f,
0.161783f,-0.092621f,0.98247f,
0.997339f,-0.069053f,0.0234f,
0.148142f,-0.091895f,0.984687f,
0.997144f,-0.067935f,0.032993f,
0.143833f,-0.091627f,0.985351f,
0.996778f,-0.068558f,0.041643f,
0.132014f,-0.09079f,0.987081f,
0.996396f,-0.068649f,0.049826f,
0.120197f,-0.089983f,0.988664f,
0.99584f,-0.068597f,0.059975f,
0.106f,-0.089317f,0.990347f,
0.99448f,-0.066678f,0.081019f,
0.092162f,-0.088347f,0.991817f,
0.989506f,-0.067139f,0.127947f,
0.069553f,-0.086875f,0.993788f,
0.989027f,-0.090779f,0.116557f,
0.052996f,-0.086553f,0.994837f,
0.966265f,-0.238167f,0.098025f,
0.013235f,-0.085747f,0.996229f,
0.880707f,-0.457723f,0.121839f,
-0.016586f,-0.073322f,0.99717f,
0.097759f,-0.099575f,0.990216f,
-0.999994f,-0.003596f,-0.000226f,
0.07645f,-0.100301f,0.992016f,
-0.704482f,0.708664f,0.038741f,
-0.000032f,-0.122831f,0.992428f,
-0.000037f,-0.998507f,-0.054614f,
0.016238f,-0.11259f,0.993509f,
-0.256366f,-0.965137f,-0.052797f,
0.078689f,-0.095671f,0.992298f,
-0.700831f,-0.712262f,-0.038978f,
0.090359f,-0.102146f,0.990657f,
-0.864891f,0.501211f,0.02739f,
0.020246f,-0.091708f,0.99558f,
-0.257713f,0.96478f,0.052762f,
-0.00003f,-0.084415f,0.996431f,
0.000038f,0.998508f,0.054613f,
0.090483f,-0.095137f,0.991343f,
-0.86155f,-0.506913f,-0.027751f,
0.996947f,-0.062007f,-0.047455f,
0.184113f,-0.085693f,0.979162f,
0.873515f,-0.008708f,-0.48672f,
0.000028f,0.037774f,-0.999286f,
0.000028f,0.037774f,-0.999286f,
0.708368f,-0.029363f,0.705232f,
0.158555f,0.968693f,-0.191036f,
0.499511f,0.060628f,0.864183f,
0.113237f,0.982742f,-0.146272f,
0.026495f,0.109636f,0.993619f,
0.001345f,0.991734f,-0.128301f,
-0.02654f,0.109639f,0.993617f,
-0.001261f,0.991734f,-0.128301f,
0.125661f,0.075016f,0.989233f,
0.029815f,0.99088f,-0.131404f,
0.07802f,0.094f,0.99251f,
0.008405f,0.992357f,-0.123113f,
0.258531f,0.088975f,0.961897f,
0.057108f,0.990132f,-0.127971f,
0.166211f,0.078832f,0.982934f,
0.043147f,0.99075f,-0.128656f,
0.350559f,0.094804f,0.93173f,
0.076321f,0.988318f,-0.131916f,
0.305182f,0.093945f,0.947649f,
0.067135f,0.989254f,-0.12988f,
0.953854f,-0.277247f,-0.115309f,
0.207316f,0.906925f,-0.366752f,
0.328478f,0.182962f,0.926621f,
-0.139482f,0.697806f,0.702576f,
0.000023f,-0.101567f,-0.994829f,
0.000023f,-0.101567f,-0.994829f,
0.000047f,0.873545f,-0.486743f,
0.107498f,-0.135482f,0.984931f,
-0.046797f,-0.263422f,0.963545f,
-0.082228f,-0.380619f,0.921069f,
0.207299f,-0.108901f,0.972197f,
0.75442f,-0.060136f,0.653631f,
0.994585f,-0.046464f,-0.092956f,
0.202067f,-0.061971f,0.977409f,
0.855693f,0.04963f,-0.515099f,
0.369457f,-0.069183f,0.926669f,
0.827335f,-0.077393f,0.556352f,
0.996072f,-0.052927f,-0.070989f,
0.193706f,-0.075624f,0.978141f,
0.878482f,0.00336f,-0.477763f,
0.433587f,-0.060483f,0.899079f,
0.952439f,-0.22943f,-0.200552f,
0.968543f,-0.088801f,-0.232462f,
0.973128f,-0.043349f,-0.226146f,
0.982634f,-0.033448f,-0.182517f,
0.98598f,-0.035021f,-0.163146f,
0.988285f,-0.039435f,-0.147439f,
0.989506f,-0.045122f,-0.137265f,
0.990152f,-0.051394f,-0.130223f,
0.991239f,-0.053408f,-0.1208f,
0.991709f,-0.054917f,-0.116177f,
0.995592f,-0.053954f,-0.076718f,
0.997436f,-0.060554f,-0.038142f,
0.997884f,-0.061699f,-0.020494f,
0.997788f,-0.066364f,-0.003846f,
0.997593f,-0.063564f,-0.027706f,
0.997876f,-0.062739f,-0.017545f,
0.997914f,-0.063771f,-0.010021f,
0.997954f,-0.063785f,-0.004419f,
0.997966f,-0.063678f,0.003133f,
0.998114f,-0.059871f,0.013565f,
0.997536f,-0.058804f,0.038275f,
0.995576f,-0.087311f,0.034706f,
0.974766f,-0.220781f,0.032983f,
0.895478f,-0.441312f,0.057996f,
0.888024f,-0.318981f,-0.331155f,
0.181051f,0.896886f,-0.403504f,
0.900366f,-0.250855f,-0.355547f,
0.91571f,-0.083009f,-0.393173f,
0.922806f,-0.019779f,-0.384757f,
0.948979f,-0.003667f,-0.315317f,
0.957079f,-0.010404f,-0.28964f,
0.962454f,-0.019796f,-0.27072f,
0.965632f,-0.029646f,-0.258217f,
0.967317f,-0.03786f,-0.250726f,
0.96884f,-0.041351f,-0.244213f,
0.970389f,-0.037306f,-0.238651f,
0.985236f,-0.043587f,-0.165558f,
0.993316f,-0.051335f,-0.103383f,
-0.089281f,-0.095347f,-0.991432f,
0.994637f,-0.054225f,-0.088071f,
-0.084564f,0.078046f,-0.993357f,
0.993839f,-0.055227f,-0.096097f,
-0.069735f,0.175678f,-0.981975f,
0.990324f,-0.051349f,-0.128922f,
0.991299f,-0.053673f,-0.120188f,
0.991224f,-0.054045f,-0.120639f,
0.991126f,-0.054046f,-0.121439f,
0.991406f,-0.054254f,-0.119038f,
0.990984f,-0.048536f,-0.124878f,
0.990314f,-0.044567f,-0.131502f,
0.988168f,-0.07605f,-0.13319f,
0.972021f,-0.194563f,-0.131609f,
0.904151f,-0.412953f,-0.109458f,
0.131396f,-0.19143f,-0.972671f,
0.021042f,0.872799f,-0.487625f,
0.146907f,-0.104237f,-0.983643f,
0.233939f,0.203067f,-0.950808f,
0.258075f,0.323776f,-0.910256f,
0.046753f,0.11535f,-0.992224f,
0.059265f,0.185047f,-0.980941f,
0.057815f,0.170421f,-0.983674f,
0.084614f,0.152094f,-0.984738f,
0.097796f,0.167939f,-0.980934f,
0.127259f,0.364327f,-0.922535f,
0.698499f,0.016437f,-0.715422f,
0.673387f,0.004725f,-0.739275f,
0.745337f,-0.180052f,0.641915f,
0.652022f,-0.001336f,-0.758199f,
0.755587f,-0.094471f,0.6482f,
0.633332f,-0.000352f,-0.77388f,
0.767271f,0.029933f,0.640624f,
0.49246f,-0.005924f,-0.870315f,
0.503339f,-0.020978f,-0.863835f,
0.488721f,-0.033714f,-0.871788f,
0.471355f,-0.034723f,-0.88126f,
0.446179f,-0.043323f,-0.893894f,
0.40942f,-0.05122f,-0.910907f,
0.394501f,-0.055431f,-0.917222f,
0.363331f,-0.063173f,-0.929516f,
0.271169f,-0.245265f,-0.930759f,
0.045504f,0.873438f,-0.484804f,
0.283435f,-0.148124f,-0.947483f,
0.365542f,0.155503f,-0.917714f,
0.403354f,0.268082f,-0.874893f,
0.596442f,0.22406f,-0.770749f,
0.641834f,0.155529f,-0.750907f,
0.657715f,0.100629f,-0.746515f,
0.66247f,0.051011f,-0.74735f,
0.653875f,0.026534f,-0.756137f,
0.787369f,-0.002647f,-0.616477f,
0.804204f,0.003905f,-0.594341f,
0.821638f,0.017102f,-0.569753f,
0.434683f,-0.874781f,0.21403f,
0.708637f,-0.01497f,-0.705414f,
0.675959f,0.531032f,0.510964f,
0.766969f,-0.025769f,-0.641166f,
0.759816f,-0.027261f,-0.649566f,
0.742823f,-0.034887f,-0.668579f,
0.724527f,-0.039391f,-0.68812f,
0.695335f,-0.042301f,-0.717439f,
0.659484f,-0.039843f,-0.750662f,
0.603382f,-0.058217f,-0.795324f,
0.032855f,-0.139834f,-0.98963f,
0.004578f,0.873045f,-0.487619f,
0.045188f,-0.060323f,-0.997156f,
0.109512f,0.238799f,-0.964874f,
0.126022f,0.356677f,-0.925689f,
0.03418f,0.08498f,-0.995796f,
0.106877f,0.364727f,-0.92496f,
0.254026f,0.034464f,-0.966583f,
0.255417f,0.033196f,-0.966261f,
0.239695f,0.022877f,-0.970579f,
0.229313f,0.014052f,-0.973251f,
0.223364f,0.001299f,-0.974734f,
0.226305f,-0.004538f,-0.974046f,
0.221119f,-0.019563f,-0.975051f,
0.213739f,-0.030751f,-0.976407f,
0.209115f,-0.039121f,-0.977108f,
0.191442f,-0.049122f,-0.980274f,
0.178317f,-0.0626f,-0.98198f,
0.178993f,-0.058265f,-0.982124f,
0.161303f,-0.069451f,-0.984458f,
0.090837f,-0.114938f,-0.989211f,
0.691365f,-0.341618f,-0.636641f,
0.131821f,0.880067f,-0.456185f,
0.704805f,-0.249322f,-0.664145f,
0.745891f,-0.020357f,-0.665757f,
0.763411f,0.069201f,-0.642196f,
0.829582f,0.077917f,-0.552922f,
0.911124f,0.019628f,-0.411665f,
0.921165f,0.002952f,-0.38916f,
0.926931f,-0.012714f,-0.375017f,
0.929356f,-0.023812f,-0.368416f,
0.930918f,-0.029907f,-0.364001f,
0.933014f,-0.022106f,-0.35916f,
0.976413f,-0.040142f,-0.212147f,
-0.013511f,-0.668138f,-0.743915f,
0.965821f,-0.035517f,-0.256766f,
0.120883f,0.862235f,-0.491871f,
0.927049f,-0.037336f,-0.373077f,
0.922507f,-0.036669f,-0.384235f,
0.917117f,-0.038558f,-0.39675f,
0.911961f,-0.040002f,-0.408323f,
0.899959f,-0.037581f,-0.434352f,
0.882058f,-0.032243f,-0.470036f,
0.874539f,-0.051667f,-0.482195f,
0.856505f,-0.129724f,-0.49957f,
0.983813f,-0.04446f,-0.173596f,
0.053405f,0.700628f,-0.711525f,
0.988079f,-0.046427f,-0.146779f,
-0.065293f,-0.396994f,-0.915496f,
0.990169f,-0.053335f,-0.129312f,
-0.006397f,0.473508f,-0.880766f,
0.994466f,-0.054598f,-0.089752f,
-0.083714f,0.087278f,-0.99266f,
0.635697f,-0.005195f,-0.771922f,
0.760831f,-0.114254f,0.638813f,
0.994587f,-0.054467f,-0.088492f,
-0.08923f,0.076687f,-0.993054f,
0.663595f,0.002227f,-0.748088f,
0.746552f,-0.092798f,0.658824f,
0.236711f,0.019511f,-0.971384f,
0.000028f,0.020486f,-0.99979f,
0.000028f,0.020486f,-0.99979f,
0.997793f,-0.056968f,-0.034099f,
0.998071f,-0.062034f,0.002275f,
0.178602f,-0.093733f,0.979447f,
0.776161f,-0.103669f,0.621954f,
0.470231f,-0.101899f,0.876641f,
0.313932f,-0.097265f,0.94445f,
0.246693f,-0.097413f,0.964185f,
0.211737f,-0.098503f,0.97235f,
0.144963f,-0.09765f,0.984607f,
0.767946f,0.01061f,-0.640427f,
0.562151f,-0.726031f,0.396062f,
0.66082f,-0.00393f,-0.750534f,
0.739074f,0.331903f,0.586182f,
0.224294f,0.007133f,-0.974495f,
