-0.009395f,-0.016097f,0.020557f,
-0.013155f,-0.008907f,0.020558f,
0.022378f,0.007965f,0.017641f,
0.023653f,0.009499f,0.017959f,
0.022935f,0.010466f,0.018476f,
0.022216f,0.011433f,0.018992f,
0.021498f,0.012401f,0.019509f,
0.02078f,0.013368f,0.020026f,
0.022875f,0.008853f,0.017774f,
0.013463f,0.010711f,0.020624f,
0.015692f,0.010024f,0.019878f,
0.01792f,0.009338f,0.019133f,
0.020149f,0.008651f,0.018387f,
0.019144f,0.013383f,0.020239f,
0.01823f,0.013294f,0.020371f,
0.017218f,0.013102f,0.020509f,
0.016082f,0.01275f,0.020631f,
0.014909f,0.012166f,0.020694f,
0.014419f,0.011813f,0.020692f,
0.014016f,0.011437f,0.020675f,
0.023653f,0.009499f,0.017959f,
0.022377f,0.007965f,0.017641f,
0.013463f,0.01071f,0.020624f,
0.020782f,0.013365f,0.020025f,
0.02636f,0.008429f,0.018499f,
0.026369f,0.007017f,0.018457f,
0.026378f,0.005605f,0.018416f,
0.024978f,0.008428f,0.018206f,
0.024987f,0.007016f,0.018165f,
0.024996f,0.005604f,0.018123f,
0.023596f,0.008428f,0.017914f,
0.023605f,0.007016f,0.017872f,
0.023614f,0.005604f,0.01783f,
0.024568f,0.004229f,0.01799f,
0.02547f,0.004233f,0.018181f,
0.026321f,0.004535f,0.01837f,
0.027112f,0.005198f,0.018558f,
0.027421f,0.005663f,0.018638f,
0.027636f,0.006193f,0.0187f,
0.027741f,0.006758f,0.01874f,
0.027732f,0.007322f,0.018755f,
0.027428f,0.008325f,0.018722f,
0.027128f,0.008788f,0.018673f,
0.026738f,0.00919f,0.018602f,
0.026277f,0.009505f,0.018515f,
0.025776f,0.009718f,0.018415f,
0.025244f,0.009826f,0.018306f,
0.024691f,0.009826f,0.018189f,
0.024151f,0.009714f,0.018071f,
0.023653f,0.009499f,0.017959f,
0.022875f,0.008853f,0.017774f,
0.022378f,0.007965f,0.017641f,
0.022628f,0.00556f,0.01762f,
0.023285f,0.004803f,0.017736f,
0.024158f,0.004328f,0.017906f,
0.02227f,0.007553f,0.017606f,
0.02227f,0.007553f,0.017606f,
0.022223f,0.007038f,0.01758f,
0.022234f,0.00678f,0.017575f,
0.022269f,0.006523f,0.017574f,
0.022326f,0.00627f,0.017578f,
0.022406f,0.006024f,0.017588f,
0.028413f,0.000093f,0.020029f,
0.027428f,0.008325f,0.018722f,
0.027732f,0.007322f,0.018755f,
0.027741f,0.006758f,0.01874f,
0.027636f,0.006193f,0.0187f,
0.027421f,0.005663f,0.018638f,
0.027112f,0.005198f,0.018558f,
0.026321f,0.004535f,0.01837f,
0.029277f,0.002455f,0.019746f,
0.029553f,0.004722f,0.019513f,
0.029303f,0.006898f,0.019351f,
0.028477f,0.008971f,0.019288f,
0.027367f,0.002314f,0.0192f,
0.02078f,0.013368f,0.020026f,
0.021498f,0.012401f,0.019509f,
0.022216f,0.011433f,0.018992f,
0.022935f,0.010466f,0.018476f,
0.023653f,0.009499f,0.017959f,
0.024151f,0.009714f,0.018071f,
0.024691f,0.009826f,0.018189f,
0.025244f,0.009826f,0.018306f,
0.025776f,0.009718f,0.018415f,
0.026277f,0.009505f,0.018515f,
0.026738f,0.00919f,0.018602f,
0.027128f,0.008788f,0.018673f,
0.027428f,0.008325f,0.018722f,
0.028477f,0.008971f,0.019288f,
0.028477f,0.008971f,0.019288f,
0.027829f,0.009908f,0.019307f,
0.027069f,0.010717f,0.019357f,
0.026224f,0.011412f,0.01943f,
0.025302f,0.012004f,0.019522f,
0.024303f,0.012502f,0.01963f,
0.023221f,0.012902f,0.019751f,
0.022049f,0.013196f,0.019884f,
0.027428f,0.008325f,0.018722f,
0.026891f,0.009964f,0.018977f,
0.028477f,0.008971f,0.019288f,
0.023906f,0.011358f,0.018959f,
0.03275f,0.006016f,0.018635f,
0.031699f,0.008116f,0.018643f,
0.030564f,0.010175f,0.018645f,
0.029348f,0.012188f,0.018643f,
0.028055f,0.014148f,0.018636f,
0.035422f,0.006748f,0.017604f,
0.034258f,0.009187f,0.017614f,
0.032966f,0.011563f,0.017618f,
0.031554f,0.01387f,0.017615f,
0.030024f,0.016097f,0.017605f,
0.037697f,0.007154f,0.016327f,
0.036419f,0.009979f,0.016337f,
0.034958f,0.012713f,0.016341f,
0.03332f,0.015346f,0.016338f,
0.031512f,0.017865f,0.016328f,
0.03862f,0.007225f,0.015586f,
0.03729f,0.01025f,0.015595f,
0.035744f,0.013167f,0.015597f,
0.03399f,0.015965f,0.015595f,
0.032035f,0.018629f,0.015587f,
0.039007f,0.007222f,0.015193f,
0.037653f,0.010345f,0.015199f,
0.036066f,0.013354f,0.015201f,
0.034254f,0.016232f,0.015199f,
0.032225f,0.018966f,0.015193f,
0.039335f,0.007188f,0.014782f,
0.037958f,0.010409f,0.014786f,
0.03633f,0.013506f,0.014788f,
0.034461f,0.016464f,0.014787f,
0.032359f,0.019267f,0.014783f,
0.039594f,0.007118f,0.014356f,
0.038195f,0.010436f,0.014358f,
0.036528f,0.01362f,0.014359f,
0.034603f,0.016656f,0.014358f,
0.032428f,0.019526f,0.014357f,
0.039702f,0.007071f,0.014121f,
0.038292f,0.010436f,0.014122f,
0.036605f,0.013665f,0.014122f,
0.034652f,0.01674f,0.014122f,
0.032441f,0.019644f,0.014122f,
0.039789f,0.007012f,0.013885f,
0.038368f,0.010426f,0.013885f,
0.036662f,0.013698f,0.013885f,
0.03468f,0.016811f,0.013885f,
0.032433f,0.019748f,0.013885f,
0.039824f,0.006978f,0.013768f,
0.038398f,0.010416f,0.013768f,
0.036682f,0.013709f,0.013768f,
0.034686f,0.016842f,0.013768f,
0.032421f,0.019796f,0.013768f,
0.039853f,0.006941f,0.013659f,
0.038421f,0.010402f,0.013661f,
0.036695f,0.013717f,0.013661f,
0.034686f,0.016869f,0.013661f,
0.032403f,0.019839f,0.01366f,
0.039866f,0.006921f,0.013596f,
0.038431f,0.010394f,0.013597f,
0.036701f,0.01372f,0.013597f,
0.034684f,0.016882f,0.013597f,
0.032392f,0.019861f,0.013597f,
0.039877f,0.006899f,0.013519f,
0.03844f,0.010385f,0.013517f,
0.036704f,0.013722f,0.013517f,
0.034681f,0.016894f,0.013518f,
0.032379f,0.019881f,0.01352f,
0.039884f,0.006876f,0.013449f,
0.038445f,0.010374f,0.013447f,
0.036704f,0.013722f,0.013446f,
0.034673f,0.016903f,0.013448f,
0.032363f,0.019899f,0.01345f,
0.039891f,0.006852f,0.013406f,
0.038448f,0.010362f,0.013408f,
0.036703f,0.013721f,0.013409f,
0.034665f,0.016913f,0.013409f,
0.032346f,0.019917f,0.013408f,
0.039897f,0.006827f,0.013358f,
0.038451f,0.010349f,0.013362f,
0.036701f,0.01372f,0.013363f,
0.034656f,0.016921f,0.013362f,
0.032327f,0.019934f,0.013359f,
0.039899f,0.0068f,0.013285f,
0.038451f,0.010335f,0.013288f,
0.036695f,0.013717f,0.013289f,
0.034643f,0.016928f,0.013288f,
0.032304f,0.019949f,0.013286f,
0.03989f,0.006739f,0.013115f,
0.038436f,0.010298f,0.013116f,
0.036671f,0.013703f,0.013116f,
0.034604f,0.016934f,0.013116f,
0.032247f,0.019973f,0.013116f,
0.028477f,0.008971f,0.019288f,
0.029303f,0.006898f,0.019351f,
0.029553f,0.004722f,0.019513f,
0.029277f,0.002455f,0.019746f,
0.028413f,0.000093f,0.020029f,
0.02078f,0.013368f,0.020026f,
0.022049f,0.013196f,0.019884f,
0.023221f,0.012902f,0.019751f,
0.024303f,0.012502f,0.01963f,
0.025302f,0.012004f,0.019522f,
0.026224f,0.011412f,0.01943f,
0.027069f,0.010717f,0.019357f,
0.027829f,0.009908f,0.019307f,
0.028477f,0.008971f,0.019288f,
0.026575f,0.02536f,0.012763f,
0.026768f,0.025313f,0.01303f,
0.026926f,0.025249f,0.013276f,
0.026993f,0.025209f,0.013377f,
0.027054f,0.025166f,0.013455f,
0.02711f,0.025122f,0.013557f,
0.027161f,0.025075f,0.013655f,
0.027252f,0.024975f,0.013824f,
0.02733f,0.024868f,0.014001f,
0.027453f,0.024632f,0.014347f,
0.027541f,0.024374f,0.014664f,
0.027594f,0.024093f,0.014967f,
0.027603f,0.023461f,0.015552f,
0.0273f,0.021976f,0.016626f,
0.026633f,0.020301f,0.017558f,
0.025638f,0.018532f,0.01836f,
0.024327f,0.016747f,0.019036f,
0.023556f,0.015869f,0.019328f,
0.022707f,0.01501f,0.019591f,
0.021782f,0.014175f,0.019823f,
0.029614f,0.00056f,0.019827f,
0.030801f,0.000946f,0.019594f,
0.031971f,0.001253f,0.019332f,
0.033119f,0.001484f,0.01904f,
0.035323f,0.00173f,0.018363f,
0.037357f,0.00171f,0.017562f,
0.039146f,0.001451f,0.016629f,
0.040587f,0.000972f,0.015554f,
0.04113f,0.00065f,0.014972f,
0.041351f,0.000462f,0.014662f,
0.04153f,0.00026f,0.014346f,
0.041677f,0.000023f,0.013991f,
0.041771f,-0.000226f,0.013635f,
0.041796f,-0.000373f,0.013433f,
0.041798f,-0.00051f,0.013249f,
0.041775f,-0.000686f,0.013009f,
0.041723f,-0.000868f,0.012761f,
0.040943f,0.002923f,0.012761f,
0.039819f,0.006627f,0.012761f,
0.038361f,0.010213f,0.012761f,
0.036581f,0.01365f,0.012762f,
0.034493f,0.01691f,0.012762f,
0.032116f,0.019965f,0.012762f,
0.029469f,0.02279f,0.012763f,
0.030191f,0.005105f,0.019354f,
0.029888f,0.007288f,0.019188f,
0.029069f,0.009312f,0.019124f,
0.027714f,0.011025f,0.019192f,
0.041082f,0.002287f,0.014351f,
0.04119f,0.002165f,0.014118f,
0.041507f,0.000994f,0.013884f,
0.025962f,0.012367f,0.019361f,
0.028985f,0.023232f,0.014352f,
0.028936f,0.023383f,0.01412f,
0.02808f,0.024242f,0.013886f,
0.04154f,0.000921f,0.013767f,
0.041682f,0.000273f,0.013592f,
0.041671f,0.000316f,0.013655f,
0.041692f,0.000227f,0.01352f,
0.041704f,0.000135f,0.013402f,
0.041699f,0.000179f,0.013453f,
0.041707f,0.000091f,0.013347f,
0.041706f,0.000046f,0.013276f,
0.041595f,0.000475f,0.013113f,
0.028031f,0.024309f,0.013768f,
0.027571f,0.024726f,0.013657f,
0.027539f,0.024758f,0.013594f,
0.027505f,0.024788f,0.013522f,
0.027469f,0.024817f,0.013455f,
0.02743f,0.024845f,0.013404f,
0.027346f,0.024898f,0.013278f,
0.027667f,0.024585f,0.013115f,
0.02739f,0.024873f,0.013349f,
0.026321f,0.004535f,0.01837f,
0.02547f,0.004233f,0.018181f,
0.024568f,0.004229f,0.01799f,
0.028413f,0.000093f,0.020029f,
0.027367f,0.002314f,0.0192f,
0.024056f,0.001929f,0.01865f,
0.023544f,-0.00037f,0.01931f,
0.023032f,-0.00267f,0.01997f,
0.02252f,-0.004969f,0.02063f,
0.02344f,-0.004801f,0.020679f,
0.023974f,-0.004603f,0.020692f,
0.024519f,-0.004324f,0.020687f,
0.025563f,-0.003585f,0.020617f,
0.026402f,-0.002794f,0.020498f,
0.02706f,-0.002032f,0.020366f,
0.027594f,-0.001301f,0.020239f,
0.024568f,0.004228f,0.01799f,
0.024162f,-0.000285f,0.019359f,
0.025308f,0.00024f,0.019381f,
0.02252f,-0.004969f,0.02063f,
0.026321f,0.004535f,0.01837f,
0.026683f,0.001445f,0.019266f,
